config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('03_novelhop_multihop', 'Beg', 'Low', 'P')",03_novelhop_multihop,Beg,Low,P,success,19,0.3157894736842105,0.7292845505553167,0,2,15.789473684210526
"('03_novelhop_multihop', 'Beg', 'Low', 'T')",03_novelhop_multihop,Beg,Low,T,success,18,0.6666666666666666,2.1343747458109497,0,9,11.11111111111111
"('03_novelhop_multihop', 'Beg', 'Medium', 'N')",03_novelhop_multihop,Beg,Medium,N,success,19,1.5263157894736843,5.2351888424455595,0,23,10.526315789473683
"('03_novelhop_multihop', 'Beg', 'Medium', 'P')",03_novelhop_multihop,Beg,Medium,P,success,17,1.1176470588235294,2.0546175525379975,0,6,29.411764705882355
"('03_novelhop_multihop', 'Beg', 'Medium', 'T')",03_novelhop_multihop,Beg,Medium,T,success,18,1.5,5.5,0,24,11.11111111111111
"('03_novelhop_multihop', 'End', 'High', 'N')",03_novelhop_multihop,End,High,N,success,19,1.0526315789473684,4.46593756538872,0,20,5.263157894736842
"('03_novelhop_multihop', 'End', 'High', 'P')",03_novelhop_multihop,End,High,P,success,18,1.0,3.2829526005987018,0,14,11.11111111111111
"('03_novelhop_multihop', 'End', 'High', 'T')",03_novelhop_multihop,End,High,T,success,20,0.75,2.426417111710186,0,11,15.0
"('03_novelhop_multihop', 'End', 'Low', 'N')",03_novelhop_multihop,End,Low,N,success,17,0.17647058823529413,0.7058823529411765,0,3,5.88235294117647
"('03_novelhop_multihop', 'End', 'Low', 'P')",03_novelhop_multihop,End,Low,P,success,17,0.8235294117647058,1.9773807428201897,0,7,17.647058823529413
"('03_novelhop_multihop', 'End', 'Low', 'T')",03_novelhop_multihop,End,Low,T,success,20,0.05,0.21794494717703364,0,1,5.0
"('03_novelhop_multihop', 'End', 'Medium', 'N')",03_novelhop_multihop,End,Medium,N,success,16,0.375,0.9921567416492215,0,3,12.5
"('03_novelhop_multihop', 'End', 'Medium', 'P')",03_novelhop_multihop,End,Medium,P,success,19,1.105263157894737,4.241334656401216,0,19,10.526315789473683
"('03_novelhop_multihop', 'End', 'Medium', 'T')",03_novelhop_multihop,End,Medium,T,success,20,0.75,2.299456457513384,0,9,10.0
"('03_novelhop_multihop', 'Mid', 'High', 'N')",03_novelhop_multihop,Mid,High,N,success,19,1.6842105263157894,5.282071280123949,0,22,10.526315789473683
"('03_novelhop_multihop', 'Mid', 'High', 'P')",03_novelhop_multihop,Mid,High,P,success,20,1.3,2.6476404589747453,0,9,25.0
"('03_novelhop_multihop', 'Mid', 'High', 'T')",03_novelhop_multihop,Mid,High,T,success,20,3.7,7.642643521714199,0,30,30.0
"('03_novelhop_multihop', 'Mid', 'Low', 'N')",03_novelhop_multihop,Mid,Low,N,success,15,0.4,1.4966629547095762,0,6,6.666666666666667
"('03_novelhop_multihop', 'Mid', 'Low', 'P')",03_novelhop_multihop,Mid,Low,P,success,17,1.0588235294117647,2.4607647839237514,0,9,17.647058823529413
"('03_novelhop_multihop', 'Mid', 'Low', 'T')",03_novelhop_multihop,Mid,Low,T,success,18,0.05555555555555555,0.2290614236454256,0,1,5.555555555555555
"('03_novelhop_multihop', 'Mid', 'Medium', 'N')",03_novelhop_multihop,Mid,Medium,N,success,17,0.0,0.0,0,0,0.0
"('03_novelhop_multihop', 'Mid', 'Medium', 'P')",03_novelhop_multihop,Mid,Medium,P,success,18,2.2777777777777777,4.200602543492429,0,16,33.33333333333333
"('03_novelhop_multihop', 'Mid', 'Medium', 'T')",03_novelhop_multihop,Mid,Medium,T,success,20,0.1,0.43588989435406733,0,2,5.0
"('04_temporal_recency', 'Beg', 'High', 'N')",04_temporal_recency,Beg,High,N,success,11,2.0,4.264014327112209,0,12,18.181818181818183
"('04_temporal_recency', 'Beg', 'High', 'P')",04_temporal_recency,Beg,High,P,success,15,3.8,9.019977827023746,0,35,26.666666666666668
"('04_temporal_recency', 'Beg', 'High', 'T')",04_temporal_recency,Beg,High,T,success,12,0.16666666666666666,0.5527707983925666,0,2,8.333333333333332
"('04_temporal_recency', 'Beg', 'Low', 'N')",04_temporal_recency,Beg,Low,N,success,6,1.3333333333333333,1.9720265943665387,0,5,33.33333333333333
"('04_temporal_recency', 'Beg', 'Low', 'P')",04_temporal_recency,Beg,Low,P,success,10,1.1,2.2113344387495983,0,6,20.0
"('04_temporal_recency', 'Beg', 'Low', 'T')",04_temporal_recency,Beg,Low,T,success,8,0.0,0.0,0,0,0.0
"('04_temporal_recency', 'Beg', 'Medium', 'N')",04_temporal_recency,Beg,Medium,N,success,8,0.0,0.0,0,0,0.0
"('04_temporal_recency', 'Beg', 'Medium', 'P')",04_temporal_recency,Beg,Medium,P,success,12,1.4166666666666667,2.5317429218272185,0,7,25.0
"('04_temporal_recency', 'Beg', 'Medium', 'T')",04_temporal_recency,Beg,Medium,T,success,9,4.333333333333333,10.913803695829936,0,35,22.22222222222222
"('04_temporal_recency', 'End', 'High', 'N')",04_temporal_recency,End,High,N,success,10,0.0,0.0,0,0,0.0
"('04_temporal_recency', 'End', 'High', 'P')",04_temporal_recency,End,High,P,success,19,2.6315789473684212,4.8797166258944245,0,16,31.57894736842105
"('04_temporal_recency', 'End', 'High', 'T')",04_temporal_recency,End,High,T,success,13,0.15384615384615385,0.5329387100211931,0,2,7.6923076923076925
"('04_temporal_recency', 'End', 'Low', 'N')",04_temporal_recency,End,Low,N,success,8,1.375,3.637908052713812,0,11,12.5
"('04_temporal_recency', 'End', 'Low', 'P')",04_temporal_recency,End,Low,P,success,17,0.6470588235294118,1.8452220166303672,0,7,11.76470588235294
