domain,question_id,config,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
04_temporal_recency,1,Low-P-End,0.9164707419017764,0.42443656921386713,0.7131269592476489,2.0,0.0,0.42443656921386713,24.0,9.0,2.57036292552948,,,0.45086669921875,0.5180046036839485,0.33,0.4819953963160515,0.42443656921386713,625.5,36.5,0.0,576.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Low-P-Mid,0.8449013157894737,0.5066710859537125,0.48968876518218624,2.0,0.07926829268292683,0.5066710859537125,18.25,7.75,2.3613346815109253,,,0.3770751953125,0.4694596230983734,0.33,0.5305403769016266,0.5066710859537125,560.0,28.0,0.0,519.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Low-T-Beg,0.7481045751633987,0.6493494153022766,0.46396514161220037,2.0,0.06818181818181816,0.6493494153022766,22.0,5.6,2.429012870788574,,,0.429296875,0.2988316774368286,0.33,0.7011683225631714,0.6493494153022766,624.4,33.4,0.0,578.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Low-T-End,0.704059829059829,0.7370117977261543,0.42628205128205127,2.0,0.11772486772486772,0.7370117977261543,24.25,7.0,2.31767338514328,,,0.41741943359375,0.277829647064209,0.33,0.722170352935791,0.7370117977261543,566.0,36.0,0.0,517.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Low-T-Mid,0.8322256175197351,0.6146163761615753,0.5864081996434938,2.0,0.022222222222222223,0.6146163761615753,21.6,7.2,2.3139854431152345,,,0.379345703125,0.328494644165039,0.33,0.671505355834961,0.6146163761615753,519.6,32.6,0.0,474.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-N-Beg,0.30833333333333335,0.8971917629241943,0.2708333333333333,2.0,0.34146341463414637,0.8971917629241943,37.5,0.0,2.366896390914917,,,0.4010009765625,0.1309717297554016,0.67,0.8690282702445984,0.8971917629241943,1867.5,55.5,0.0,1799.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-N-End,0.3666666666666667,0.7782888114452362,0.1974358974358974,2.0,0.26390293225480277,0.7782888114452362,31.5,0.5,2.6409335136413574,,,0.4427490234375,0.2373298108577728,0.67,0.7626701891422272,0.7782888114452362,1690.5,42.5,0.0,1635.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-N-Mid,0.5907317073170731,0.7547630071640015,0.42097560975609755,2.0,0.2826086956521739,0.7547630071640015,40.5,4.0,2.5695269107818604,,,0.43798828125,0.2419958412647247,0.67,0.7580041587352753,0.7547630071640015,1873.0,61.0,0.0,1799.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-P-Beg,0.9136595386595388,0.4947495609521866,0.6468022240081064,2.0,0.06884057971014491,0.4947495609521866,23.833333333333332,8.5,2.794178088506063,,,0.4075792100694444,0.4788175192144182,0.67,0.5211824807855818,0.4947495609521866,1365.111111111111,35.111111111111114,0.0,1317.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-P-End,0.9383333333333334,0.47461072355508804,0.7519607843137255,2.0,0.0,0.47461072355508804,19.75,7.0,2.6276543736457825,,,0.3917236328125,0.4829365387558937,0.67,0.5170634612441063,0.47461072355508804,1585.5,28.5,0.0,1544.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-P-Mid,0.9648416532474502,0.5915163656075796,0.72501585907383,2.0,0.0,0.5915163656075796,23.0,8.166666666666666,2.746296842892965,,,0.4252522786458333,0.4234910060962041,0.67,0.5765089939037958,0.5915163656075796,1677.5,34.5,0.0,1630.0,0.0,0.0,1.0,0.0
04_temporal_recency,1,Medium-T-Mid,0.801923076923077,0.763339951634407,0.43509615384615385,2.0,0.0434782608695652,0.763339951634407,31.0,9.25,2.4879305958747864,,,0.38995361328125,0.2084792107343673,0.67,0.7915207892656326,0.763339951634407,1477.75,41.75,0.0,1423.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-N-Beg,0.2218204469685153,0.7557933330535889,0.5336535190396186,2.0,0.07350931677018632,0.7557933330535889,22.833333333333332,0.0,2.2547653781043158,,,0.4545627170138889,0.3336250947581397,0.33,0.6663749052418603,0.7557933330535889,770.5555555555555,37.55555555555556,0.0,720.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-N-End,0.32315789473684203,0.8013525009155273,0.4644110275689223,2.0,0.07004300047778306,0.8013525009155273,22.0,0.6,2.0751662254333496,,,0.32958984375,0.2457950949668884,0.33,0.7542049050331116,0.8013525009155273,701.6,33.6,0.0,655.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-N-Mid,0.28683982683982684,0.774319076538086,0.4031024531024531,2.0,0.1157711670480549,0.774319076538086,17.6,0.0,2.2128488540649416,,,0.369482421875,0.3362666249275208,0.33,0.6637333750724792,0.774319076538086,738.8,26.8,0.0,699.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-P-Beg,0.9369258192787604,0.5576427976290385,0.7477928847897888,2.0,0.021910919540229883,0.5576427976290385,22.5,8.333333333333334,2.484891414642334,,,0.38951697716346156,0.3962897452024313,0.33,0.6037102547975687,0.5576427976290385,563.5384615384615,35.53846153846154,0.0,515.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-P-End,0.9924242424242424,0.48769576847553253,0.7457026404394825,2.0,0.009009009009009,0.48769576847553253,21.666666666666668,10.0,2.605751249525282,,,0.4360622829861111,0.44683525959650666,0.33,0.5531647404034933,0.48769576847553253,595.6666666666666,32.666666666666664,0.0,550.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-P-Mid,0.9621212121212123,0.6086799005667368,0.7822493578860302,2.0,0.0101010101010101,0.6086799005667368,24.666666666666668,10.0,2.4313039779663086,,,0.3836669921875,0.4130819588899612,0.33,0.5869180411100388,0.6086799005667368,565.3333333333334,35.333333333333336,0.0,517.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-T-Beg,0.846661888835802,0.5686517804861069,0.6626058643449948,2.0,0.06965811965811965,0.5686517804861069,22.666666666666668,8.333333333333334,2.598427075606126,,,0.43997896634615385,0.4275998943127118,0.33,0.5724001056872882,0.5686517804861069,596.4615384615385,36.46153846153846,0.0,547.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-T-End,0.9587238848108414,0.4222225009330681,0.6999372608068261,2.0,0.013545594190755472,0.4222225009330681,19.0,8.428571428571429,2.5619369877709284,,,0.4100748697916667,0.4302705824375152,0.33,0.5697294175624847,0.4222225009330681,590.7777777777778,31.77777777777778,0.0,546.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Low-T-Mid,0.8138611388611389,0.7222400426864624,0.6366716616716617,2.0,0.02431941923774954,0.7222400426864624,27.0,8.6,2.4986907243728638,,,0.3979085286458333,0.3372653524080912,0.33,0.6627346475919088,0.7222400426864624,660.0,43.0,0.0,604.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-N-Beg,0.28418498168498163,0.7163688838481903,0.3971520146520146,2.0,0.1358647342995169,0.7163688838481903,17.6,0.0,2.4572295188903808,,,0.396630859375,0.3409932672977447,0.67,0.6590067327022553,0.7163688838481903,1750.8,27.8,0.0,1710.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-N-End,0.36440559440559434,0.554723608493805,0.5619580419580419,2.0,0.09428571428571428,0.554723608493805,18.2,0.4,2.5195799469947815,,,0.4390869140625,0.3187277615070343,0.67,0.6812722384929657,0.554723608493805,1770.25,33.25,0.0,1724.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-N-Mid,0.3222222222222222,0.6731371879577637,0.5629629629629629,2.0,0.0850970017636684,0.6731371879577637,23.0,0.6666666666666666,2.452766021092733,,,0.36279296875,0.2678477962811788,0.67,0.7321522037188212,0.6731371879577637,1777.6666666666667,32.666666666666664,0.0,1732.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-P-Beg,0.939751552795031,0.5914540529251099,0.7864483342744212,2.0,0.00909090909090908,0.5914540529251099,25.0,13.0,2.649631452560425,,,0.399658203125,0.3836684226989746,0.67,0.6163315773010254,0.5914540529251099,1561.2,39.2,0.0,1509.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-P-End,0.8908475783475782,0.5705844759941101,0.7310660018993352,2.0,0.017094017094017065,0.5705844759941101,26.0,10.666666666666666,2.754542589187622,,,0.4261067708333333,0.3488779067993164,0.67,0.6511220932006836,0.5705844759941101,1652.6666666666667,37.666666666666664,0.0,1602.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-P-Mid,0.9925925925925927,0.4044245108962059,0.8173976851608431,2.0,0.006944444444444444,0.4044245108962059,15.777777777777779,6.777777777777778,2.862785577774048,,,0.4380425347222222,0.4770960344208611,0.67,0.5229039655791389,0.4044245108962059,1631.6666666666667,28.666666666666668,0.0,1590.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-T-Beg,0.9168751002084335,0.6099255813492669,0.5142235850569183,2.0,0.06259688491917029,0.6099255813492669,15.666666666666666,6.0,2.7566299849543077,,,0.4173289331896552,0.4230485735782261,0.67,0.5769514264217739,0.6099255813492669,1809.896551724138,33.89655172413793,0.0,1763.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-T-End,0.9419000933706817,0.6194976518551508,0.6788511325276032,2.0,0.010416666666666666,0.6194976518551508,22.166666666666668,8.333333333333334,2.6348790725072226,,,0.4002685546875,0.4060334414243698,0.67,0.5939665585756302,0.6194976518551508,1579.3333333333333,35.333333333333336,0.0,1531.0,0.0,0.0,1.0,0.0
04_temporal_recency,2,Medium-T-Mid,0.9935483870967743,0.5249100625514984,0.7733273738883837,2.0,0.010810810810810801,0.5249100625514984,26.2,10.4,2.7239059925079347,,,0.423828125,0.378344452381134,0.67,0.621655547618866,0.5249100625514984,1712.0,40.0,0.0,1659.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-N-Beg,0.2058823529411764,1.0000001192092896,0.0,2.0,1.0,1.0000001192092896,58.0,0.0,3.053784847259521,,,0.31689453125,0.0,0.33,1.0,1.0000001192092896,820.0,90.0,90.0,619.0,486.5,1.0,1.0,1.0
04_temporal_recency,3,Low-N-End,0.33300176834659595,0.5192423015832901,0.421419098143236,2.0,0.17045454545454544,0.5192423015832901,32.75,0.0,2.216822306315104,,,0.3916829427083333,0.3870880305767059,0.33,0.6129119694232941,0.5192423015832901,713.3333333333334,60.333333333333336,0.0,640.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-N-Mid,0.34053623188405796,0.5722520887851715,0.48356038647342997,2.0,0.0749658002735978,0.5722520887851715,23.4,0.0,2.2992581844329836,,,0.420556640625,0.4508220851421356,0.33,0.5491779148578644,0.5722520887851715,715.4,33.4,0.0,669.0,0.0,0.0,1.0,0.0
04_temporal_recency,3,Low-P-Beg,0.767156862745098,0.5885816588997841,0.392156862745098,2.0,0.39473684210526316,0.5885816588997841,34.5,7.0,2.336290955543518,,,0.394287109375,0.3669419437646866,0.33,0.6330580562353134,0.5885816588997841,643.0,54.0,0.0,576.0,0.0,0.0,1.0,0.0
