domain,question_id,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,hallu_score,distractor_density,evid_overlap_ngram,evid_overlap_emb,total_response_tokens,interference_token_hits,att_avg_entropy,attention_entropy,cross_attention_mass_to_gold,distractor_attention_max,hallucination_score,distractor_density_chunk,chunk_hallu_score,evidence_overlap_emb,seq_len,resp_len,gold_len,dist_len,cross_attention_mass_to_gold_raw,gold_found,dist_found,gold_available
04_temporal_recency,0,0.602982202982203,0.9045424224838379,0.12561823199882027,2.0,0.8400736981196751,0.9045424224838379,17.17936507936508,4.684126984126984,2.9136749082141455,,,0.41323668464781743,0.08543802338933187,0.5,0.9145619766106682,0.9045424224838379,1194.4539682539682,29.84285714285714,23.333333333333332,1121.611111111111,28.875,0.8333333333333334,1.0,0.8333333333333334
04_temporal_recency,1,0.6646736081136786,0.6708651392099758,0.4694193941769544,2.0,0.13348312338597454,0.6708651392099758,27.688541666666666,5.122916666666667,2.4464029031495254,,,0.40648744371202256,0.32104198688434227,0.47875,0.6789580131156577,0.6708651392099758,1069.720486111111,40.095486111111114,0.0,1016.625,0.0,0.0,1.0,0.0
04_temporal_recency,2,0.7216035809778373,0.609090206508625,0.6388618778905724,2.0,0.04667048552265643,0.609090206508625,21.641358024691357,6.141093474426808,2.5297628913308836,,,0.40636597019471254,0.372870403549367,0.5,0.6271295964506329,0.609090206508625,1168.234067688378,34.51184546615581,0.0,1120.7222222222222,0.0,0.0,1.0,0.0
04_temporal_recency,3,0.6173193800193286,0.6941464620262936,0.3832493702066671,2.0,0.31793359918963976,0.6941464620262936,34.17863756613757,5.337830687830688,2.4930051841485645,,,0.38077803246768904,0.2997613014883281,0.5,0.7002386985116719,0.6941464620262936,1143.1229938271604,53.01188271604938,10.0,1066.2222222222222,55.208333333333336,0.1111111111111111,1.0,0.1111111111111111
04_temporal_recency,4,0.7318703674634044,0.5464766253121,0.4014419027510742,2.0,0.11634375972611267,0.5464766253121,27.799999999999997,5.791269841269841,2.5568164366210366,,,0.41565740676153273,0.3478800723128796,0.5,0.6521199276871203,0.5464766253121,1111.2449294532628,40.91159611992945,1.9444444444444444,1053.1666666666667,2.4098090277777775,0.2777777777777778,1.0,0.2777777777777778
04_temporal_recency,5,0.5746239952811993,0.4426244468040405,0.6870299639569573,2.0,0.02611337464278641,0.4426244468040405,20.590593434343432,4.683382435465769,2.489622029037048,,,0.40095558050270586,0.43586746857712033,0.5,0.5641325314228796,0.4426244468040405,1105.0418692625083,36.04186926250821,0.0,1056.0,0.0,0.0,1.0,0.0
04_temporal_recency,6,0.5404826271553979,0.5749008201614574,0.5857186579747657,2.0,0.010262118340826873,0.5749008201614574,20.75925925925926,4.962962962962963,2.4955370801466485,,,0.4031937210648148,0.380748444961177,0.5,0.619251555038823,0.5749008201614574,1179.925925925926,30.48148148148148,0.0,1136.4444444444443,0.0,0.0,1.0,0.0
04_temporal_recency,7,0.6237180757436187,0.5473170578824701,0.3270845431013309,2.0,0.029576521482161184,0.5473170578824701,16.63425925925926,4.326388888888889,2.453596595628762,,,0.3968098958333333,0.34960471590360004,0.5,0.6503952840963999,0.5473170578824701,1159.673611111111,24.84027777777778,0.0,1121.8333333333333,0.0,0.0,1.0,0.0
04_temporal_recency,8,0.5707171086606921,0.3811053558599715,0.6196146553327989,2.0,0.0,0.3811053558599715,20.750980392156862,4.676470588235294,2.49155218024659,,,0.4256856681474673,0.4742068343838446,0.49,0.5257931656161554,0.3811053558599715,1161.996732026144,32.58496732026144,0.0,1116.4117647058824,0.0,0.0,1.0,0.0
04_temporal_recency,9,0.6407910248784607,0.6366058446644317,0.30268136953503816,2.0,0.0893896269485232,0.6366058446644317,18.601719576719578,4.061640211640212,2.5227162317729293,,,0.4092209481267912,0.33350839434188295,0.5183333333333333,0.666491605658117,0.6366058446644317,1146.1542768959434,32.098721340388,0.0,1101.0555555555557,0.0,0.0,1.0,0.0
04_temporal_recency,10,0.6100590571629207,0.6872052181137618,0.2527523241067815,2.0,0.12892349507365808,0.6872052181137618,20.53306878306878,4.033730158730159,2.624205462989353,,,0.41571480887276785,0.27411430519291013,0.5,0.7258856948070898,0.6872052181137618,1140.5717592592594,30.682870370370367,2.5555555555555554,1093.4444444444443,3.363064236111111,0.1111111111111111,1.0,0.1111111111111111
04_temporal_recency,11,0.6047997550314235,0.46037853019381014,0.39830566273106194,2.0,0.02899341240834507,0.46037853019381014,20.45601851851852,3.2569444444444446,2.4300385829475193,,,0.3854799623842593,0.4682116097322216,0.5,0.5317883902677782,0.46037853019381014,1147.6296296296296,25.35185185185185,0.0,1109.2777777777778,0.0,0.0,1.0,0.0
04_temporal_recency,12,0.613028176421001,0.7620837059529388,0.2683975131689573,2.0,0.12870326419410705,0.7620837059529388,19.5,4.911764705882353,2.6266353551079247,,,0.42630543428308826,0.2401530900422264,0.49,0.7598469099577736,0.7620837059529388,1148.5,33.44117647058823,0.0,1102.0588235294117,0.0,0.0,1.0,0.0
04_temporal_recency,13,0.6757791987350921,0.5304805286079272,0.44751915743415166,2.0,0.06888237528178688,0.5304805286079272,23.544611528822056,5.616165413533834,2.5119543467747136,,,0.40568839497833126,0.35167896490397804,0.5263157894736842,0.6483210350960219,0.5304805286079272,1172.7678780284043,32.29419381787803,3.8421052631578947,1123.2105263157894,10.94078947368421,0.05263157894736842,1.0,0.05263157894736842
04_temporal_recency,14,0.6550454689343579,0.573060701628802,0.24863601175350977,2.0,0.1338767253514667,0.573060701628802,19.71957671957672,4.521693121693122,2.519078177592111,,,0.4161976809224124,0.32631033649126057,0.5,0.6736896635087395,0.573060701628802,1161.9156746031745,30.026785714285715,0.0,1118.888888888889,0.0,0.0,1.0,0.0
04_temporal_recency,15,0.5898521952333872,0.632495308915774,0.5419295992932904,2.0,0.0033254312265936373,0.632495308915774,18.88888888888889,3.4444444444444446,2.3787967363993325,,,0.3994050202546296,0.49138178483203604,0.5,0.508618215167964,0.632495308915774,1160.3518518518517,28.12962962962963,0.0,1119.2222222222222,0.0,0.0,1.0,0.0
04_temporal_recency,16,0.5660461731547406,0.49018149699481484,0.469651015911329,2.0,0.0030225975597793922,0.49018149699481484,29.503684807256235,4.759750566893424,2.370304110834445,,,0.3736780870561214,0.6445813767889368,0.5714285714285714,0.3554186232110632,0.49018149699481484,1151.361226207655,41.599321445750014,0.0,1096.7619047619048,0.0,0.0,1.0,0.0
04_temporal_recency,17,0.58263183910575,0.3463366829414673,0.5030019401645852,2.0,0.0025372325102030586,0.3463366829414673,20.784085557299843,4.8985653235653235,2.424506889014234,,,0.38900063514511096,0.5467188129067705,0.5714285714285714,0.45328118709322945,0.3463366829414673,1116.3699496154327,38.03661628209947,0.0,1065.3333333333333,0.0,0.0,1.0,0.0
