row_id,layer,head,entropy,eff_rank,head_sim,self_attn_ratio
2,3,5,2.731686354,1,0.995727956,0.038641531
2,3,6,1.715882659,1.000000238,0.988993466,0.157276168
2,3,7,1.43424654,1.000000119,0.993145347,0.107944719
2,3,8,1.535238862,1.000000358,0.990577698,0.118853807
2,3,9,1.539849043,1,0.995351374,0.072222918
2,3,10,1.767813087,1,0.994793177,0.159413576
2,3,11,1.784432292,1.000000119,0.993931174,0.100707188
2,4,0,1.197479606,1,0.916453779,0.059391432
2,4,1,1.55083859,1.000000119,0.917349219,0.059755679
2,4,2,2.30542469,1,0.915094614,0.016791807
2,4,3,1.586520195,1,0.917543471,0.07336463
2,4,4,2.975881338,1,0.916031301,0.041823782
2,4,5,1.48537004,1,0.916125119,0.066707134
2,4,6,2.051109314,1,0.916741312,0.041960306
2,4,7,1.812099814,1.000000477,0.91911757,0.491957277
2,4,8,3.644590378,1,0.918177247,0.016055368
2,4,9,1.846427679,1,0.916689277,0.038526464
2,4,10,3.257506847,1,0.915717483,0.013619639
2,4,11,0.009673669,1.000028729,0.136498913,0.003951269
2,5,0,2.326426506,1,0.997566283,0.013640231
2,5,1,0.256219089,1,0.996863604,0.004769198
2,5,2,1.416662931,1,0.997353494,0.021349924
2,5,3,2.273586035,1.000000119,0.994695246,0.035920896
2,5,4,1.490260243,1,0.997355878,0.050988127
2,5,5,2.174613237,1,0.997490823,0.013725489
2,5,6,0.6265558,1,0.997082114,0.021368103
2,5,7,0.97511673,1,0.997249007,0.043803431
2,5,8,1.11052525,1,0.997281432,0.027116787
2,5,9,3.05361104,1,0.997722864,0.006597309
2,5,10,3.717293024,1.000000596,0.980472565,0.046723448
2,5,11,2.684566259,1,0.997597337,0.106572971
2,6,0,1.761598706,1.000000119,0.996572495,0.035174154
2,6,1,0.70013392,1,0.998044729,0.022206977
2,6,2,3.563021183,1,0.997818887,0.013136109
2,6,3,1.625468612,1,0.998466313,0.01795507
2,6,4,3.714383364,1.000000119,0.99270767,0.023189051
2,6,5,1.721986413,1,0.998529494,0.062972054
2,6,6,2.724746227,1,0.998590887,0.065550342
2,6,7,2.258841038,1,0.998110414,0.046351466
2,6,8,1.211124778,1,0.998392045,0.026474146
2,6,9,0.732663393,1,0.998006582,0.00487657
2,6,10,3.489349127,1,0.998277128,0.010713779
2,6,11,1.540231466,1,0.998216629,0.046784941
2,7,0,1.040856361,1,0.999040067,0.026392864
2,7,1,2.67402935,1,0.998978794,0.01587108
2,7,2,0.618371189,1,0.999257982,0.004128166
2,7,3,1.514799118,1,0.999485791,0.044603489
2,7,4,0.922642469,1,0.999378741,0.015891777
2,7,5,2.723045349,1,0.998042464,0.025792414
2,7,6,3.272450447,1,0.999245644,0.010951447
2,7,7,2.065018892,1,0.999423981,0.011863868
2,7,8,1.27602005,1,0.999205828,0.034641482
2,7,9,1.399622083,1,0.999358237,0.029076558
2,7,10,0.96471113,1,0.999331474,0.005265312
2,7,11,2.347065687,1,0.999450743,0.007833614
2,8,0,3.303420544,1,0.998278201,0.023213796
2,8,1,1.18038249,1,0.998108804,0.007996271
2,8,2,4.18141222,1.000000238,0.989767015,0.012002797
2,8,3,2.091265202,1,0.998412132,0.021313535
2,8,4,1.133624077,1,0.998302698,0.047046125
2,8,5,1.919035077,1,0.99787581,0.04135133
2,8,6,2.302595139,1,0.99839592,0.018524349
2,8,7,1.205391526,1,0.997880578,0.054416753
2,8,8,2.425647736,1,0.998089433,0.032692134
2,8,9,2.287627459,1,0.998462737,0.031360857
2,8,10,2.176729918,1,0.998600423,0.06252297
2,8,11,1.848570824,1,0.998272002,0.015753111
2,9,0,2.565058708,1,0.99734211,0.039067026
2,9,1,2.086499691,1,0.998790801,0.013410654
2,9,2,2.679703474,1,0.997611582,0.01999839
2,9,3,1.647690892,1,0.998265624,0.047435001
2,9,4,1.863504052,1,0.998880386,0.013042606
2,9,5,2.194092751,1,0.999051273,0.031211127
2,9,6,1.617042065,1,0.998931646,0.005870434
2,9,7,1.968759418,1,0.99892652,0.021009233
2,9,8,2.659032583,1,0.998425484,0.008870879
2,9,9,1.496639848,1,0.998951018,0.006211817
2,9,10,1.127967358,1,0.998809814,0.039194822
2,9,11,2.641549826,1,0.997162044,0.005092931
2,10,0,2.535077333,1,0.996779621,0.011684157
2,10,1,1.785778284,1,0.998088121,0.009341222
2,10,2,2.265871525,1,0.997314811,0.009461685
2,10,3,3.039368868,1,0.994925678,0.011298244
2,10,4,3.076336384,1,0.996738851,0.021069966
2,10,5,1.015026093,1,0.998107314,0.027858805
2,10,6,1.975271821,1,0.997294426,0.009983856
2,10,7,2.64066124,1,0.998255551,0.032678019
2,10,8,2.300909281,1,0.998200357,0.011235893
2,10,9,1.396188378,1,0.998272955,0.066626504
2,10,10,1.906572223,1,0.998209596,0.007422445
2,10,11,1.988880873,1,0.998277128,0.04561625
2,11,0,4.717370033,1.000000834,0.900286078,0.024741955
2,11,1,2.835070372,1,0.910101473,0.016427837
2,11,2,2.505210876,1,0.908922613,0.00813863
2,11,3,2.224391937,1,0.909935415,0.028650302
2,11,4,3.81197691,1.000000119,0.913800955,0.015495583
2,11,5,2.104906082,1,0.908406436,0.010883826
2,11,6,1.932894945,1,0.907833636,0.005899123
2,11,7,2.465212584,1,0.909705102,0.016879566
2,11,8,3.844706297,1.000022292,0.088995248,0.095222227
2,11,9,1.860975623,1,0.907928288,0.007177234
2,11,10,2.639024973,1,0.912361205,0.051419016
2,11,11,2.640503883,1,0.912335932,0.040275618
3,0,0,4.447750092,1.000017524,0.803779185,0.019330038
3,0,1,0.387655109,1.000030994,0.815271974,0.882857919
3,0,2,4.691866875,1.000012279,0.801882148,0.036081769
3,0,3,0.399447262,1.000030756,0.797253191,0.828972757
3,0,4,1.106613755,1.00002861,0.800701141,0.601575553
3,0,5,1.224862933,1.000026107,0.786700964,0.681898594
3,0,6,4.411720276,1.000022411,0.765821993,0.028716426
3,0,7,1.802582979,1.000027776,0.762115479,0.153966576
3,0,8,4.274809837,1.000024676,0.827706277,0.059343047
3,0,9,4.668503761,1.000018597,0.855999172,0.019607298
3,0,10,4.255390167,1.000025392,0.885982752,0.162345752
3,0,11,5.440322876,1.000016451,0.731892645,0.007324731
